,,u_-2_0,u_-1_0,u_0_0,u_1_0,u_2_0,u_-2_1,u_-1_1,u_0_1,u_1_1,u_2_1,u_-2_2,u_-1_2,u_0_2,u_1_2,u_2_2,u_-2_3,u_-1_3,u_0_3,u_1_3,u_2_3
alpha_110,mu,-9.903384E-01,-1.303506E-01,1.025840E+00,-1.183416E-03,1.950010E-05,2.422494E+01,-7.402967E+00,6.853607E-01,-2.596126E-02,3.136129E-04,-9.703941E+01,3.081739E+01,-3.044076E+00,1.125577E-01,-1.177408E-03,8.048518E+01,-2.414507E+01,1.997281E+00,-5.759027E-02,-1.401836E-04
alpha_110,sigma,2.283359E-01,-6.643015E-02,4.315441E-02,-2.368479E-03,4.590843E-05,-9.535641E+00,4.169241E+00,-6.508426E-01,4.101907E-02,-8.557515E-04,6.041297E+01,-2.522488E+01,3.767100E+00,-2.314949E-01,4.892019E-03,-1.094324E+02,4.470892E+01,-6.565510E+00,3.996157E-01,-8.359229E-03
alpha_110,lambda,2.679968E+02,1.971609E+01,-4.234292E+01,7.669287E+00,-2.020579E-01,1.198844E+05,-4.798906E+04,6.795564E+03,-3.944252E+02,7.965646E+00,-7.646573E+05,3.075601E+05,-4.394901E+04,2.587785E+03,-5.229081E+01,1.235115E+06,-4.997042E+05,7.238309E+04,-4.361737E+03,9.052044E+01
alpha_110,b,-1.005839E+01,4.058498E+00,5.725504E-01,2.574677E-02,-5.068220E-04,6.332996E+01,-3.496626E+01,6.369670E+00,-4.427176E-01,1.020895E-02,-4.338951E+02,2.164481E+02,-3.776335E+01,2.669749E+00,-6.370633E-02,8.826985E+02,-4.060046E+02,6.700958E+01,-4.705686E+00,1.153723E-01
alpha_112,a,-9.953862E+05,2.119565E+05,1.642305E+04,-3.130605E+03,-2.341203E+02,6.628314E+07,-3.078611E+07,4.842255E+06,-3.062596E+05,7.906498E+03,-2.906483E+08,1.331627E+08,-2.122990E+07,1.363720E+06,-3.167640E+04,3.307499E+08,-1.481696E+08,2.345888E+07,-1.508324E+06,3.412469E+04
alpha_112,mu,2.705870E+01,-8.865995E+00,1.981470E+00,-4.382082E-02,6.967077E-04,-5.582728E+02,1.683156E+02,-1.796270E+01,8.069789E-01,-1.299171E-02,2.507180E+03,-7.586472E+02,8.094947E+01,-3.643197E+00,5.881388E-02,-2.675520E+03,8.214264E+02,-8.910331E+01,4.053629E+00,-6.590716E-02
alpha_112,sigma,-1.849363E+00,5.386071E-01,-1.904661E-02,5.845394E-04,-6.065478E-06,1.304706E+01,-3.052381E+00,1.179480E-01,5.620349E-03,-2.471377E-04,6.668995E+01,-2.891423E+01,4.476320E+00,-2.723358E-01,5.538578E-03,-3.221249E+02,1.182071E+02,-1.547511E+01,8.383924E-01,-1.575281E-02
alpha_112,lambda,-1.544267E+04,4.235466E+03,-3.743591E+02,1.518874E+01,-2.225451E-01,2.254047E+05,-6.849102E+04,6.547945E+03,-2.481694E+02,3.383432E+00,-3.195225E+05,1.059131E+05,-8.571592E+03,2.122311E+02,-7.059941E-01,-2.433041E+04,-2.158977E+03,-2.793638E+03,3.278372E+02,-8.103549E+00
alpha_112,b,-2.534482E+02,7.860847E+01,-1.061011E+01,3.801113E-01,-6.140637E-03,4.491145E+03,-1.408176E+03,1.520045E+02,-6.850280E+00,1.106650E-01,-1.878413E+04,5.946232E+03,-6.452579E+02,2.918609E+01,-4.723866E-01,1.923951E+04,-6.144439E+03,6.728215E+02,-3.056112E+01,4.966639E-01
alpha_112,c,2.773975E+02,-8.556373E+01,1.032170E+01,-4.103551E-01,6.608762E-03,-4.935842E+03,1.538589E+03,-1.653062E+02,7.421528E+00,-1.195101E-01,2.064432E+04,-6.494741E+03,7.011624E+02,-3.158144E+01,5.093152E-01,-2.111896E+04,6.694133E+03,-7.280215E+02,3.288415E+01,-5.318099E-01
